molecule_chembl_id,canonical_smiles,value,STATUS,MW,LogP,NumHDonors,NumHAcceptors
CHEMBL460647,CC(C)=CCc1c(O)cc(O)c2c1OC(c1ccc(O)cc1)CC2=O,57.0,active,340.37500000000006,4.018600000000003,3.0,5.0
CHEMBL223026,Oc1ccc(-c2n[nH]c3cc(O)ccc23)c(O)c1,48.0,active,242.23400000000004,2.3467000000000002,4.0,4.0
CHEMBL222580,Cc1cc(O)ccc1-c1nn(C(C)C)c2c(C(F)(F)F)cccc12,20.0,active,334.341,5.317020000000003,1.0,3.0
CHEMBL222522,C=CCn1nc(-c2ccc(O)cc2C)c2cccc(C(F)(F)F)c21,59.0,active,332.325,4.922120000000003,1.0,3.0
CHEMBL373743,Oc1ccc(-c2nn(C3CCCC3)c3c(F)cccc23)cc1,18.0,active,296.34499999999997,4.663100000000004,1.0,3.0
CHEMBL222434,Oc1ccc(-c2nn(C3CCCC3)c3c(Cl)cccc23)cc1,18.0,active,312.8,5.177400000000004,1.0,3.0
CHEMBL222454,Oc1ccc(-c2nn(C3CCCCC3)c3c(Cl)cccc23)cc1,37.0,active,326.827,5.567500000000004,1.0,3.0
CHEMBL222453,CCCn1nc(-c2ccc(O)cc2)c2cccc(Cl)c21,52.0,active,286.762,4.4723000000000015,1.0,3.0
CHEMBL386502,CC(C)n1nc(-c2ccc(O)cc2)c2cccc(C(F)(F)F)c21,3.0,active,320.314,5.008600000000003,1.0,3.0
CHEMBL222452,CCCn1nc(-c2ccc(O)cc2)c2cccc(C)c21,40.0,active,266.344,4.127320000000003,1.0,3.0
CHEMBL385801,CCCCn1nc(-c2ccc(O)cc2)c2cccc(Cl)c21,25.0,active,300.78900000000004,4.862400000000003,1.0,3.0
CHEMBL374799,OCCn1nc(-c2ccc(O)cc2)c2cccc(Cl)c21,410.0,active,288.73400000000004,3.0546000000000015,2.0,4.0
CHEMBL225081,OCCn1nc(-c2ccc(O)cc2)c2cccc(C(F)(F)F)c21,96.0,active,322.286,3.4200000000000017,2.0,4.0
CHEMBL221676,Oc1ccc(-c2nn(Cc3ccccc3)c3c(C(F)(F)F)cccc23)cc1,196.0,active,368.35800000000006,5.476000000000003,1.0,3.0
CHEMBL221626,Oc1ccc(-c2nn(Cc3ccccc3)c3c(Cl)cccc23)cc1,105.0,active,334.8060000000001,5.110600000000003,1.0,3.0
CHEMBL374277,Oc1ccc(-c2nn(-c3cc(F)ccc3F)c3cc(O)ccc23)c(O)c1,31.0,active,354.31200000000007,4.087500000000001,3.0,5.0
CHEMBL389394,Oc1ccc(-c2nn(-c3cc(Cl)ccc3Cl)c3cc(O)ccc23)c(O)c1,15.0,active,387.22200000000015,5.116100000000004,3.0,5.0
CHEMBL434577,Oc1ccc(-c2nn(-c3cccc(Cl)c3)c3cc(O)ccc23)c(O)c1,50.0,active,352.7770000000001,4.462700000000003,3.0,5.0
CHEMBL221515,Oc1ccc(-c2nn(-c3cccc(F)c3)c3cc(O)ccc23)c(O)c1,39.0,active,336.32200000000006,3.9484000000000012,3.0,5.0
CHEMBL426897,Cc1ccc(-n2nc(-c3ccc(O)cc3O)c3ccc(O)cc32)cc1,40.0,active,332.3590000000001,4.117720000000002,3.0,5.0
CHEMBL389393,Oc1ccc(-c2nn(C3CCCCC3)c3cc(O)ccc23)c(O)c1,443.0,active,324.38,4.325300000000005,3.0,5.0
CHEMBL225022,CCCCn1nc(-c2ccc(O)cc2O)c2ccc(O)cc21,112.0,active,298.34200000000004,3.6202000000000014,3.0,5.0
CHEMBL225514,CCCn1nc(-c2ccc(O)cc2O)c2ccc(O)cc21,62.0,active,284.315,3.230100000000001,3.0,5.0
CHEMBL225404,Oc1ccc(-c2nn(CC(F)(F)F)c3cc(O)ccc23)c(O)c1,165.0,active,324.25800000000004,3.3824000000000014,3.0,5.0
CHEMBL225349,CCn1nc(-c2ccc(O)cc2O)c2ccc(O)cc21,305.0,active,270.288,2.8400000000000007,3.0,5.0
