molecule_chembl_id,canonical_smiles,STATUS,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL3657146,CCCCN(CCCC)CCOc1ccc(Cn2c(-c3ccc(O)cc3)c(C)c3cc(O)ccc32)cc1,active,500.68300000000016,7.35722000000001,2.0,5.0,6.698970004336019
CHEMBL3657147,Cc1c(-c2ccc(O)cc2)n(Cc2ccc(OCCN(C(C)C)C(C)C)cc2)c2ccc(O)cc12,active,472.62900000000013,6.573820000000007,2.0,5.0,7.0
CHEMBL3657148,CCCCN(C)CCOc1ccc(Cn2c(-c3ccc(O)cc3)c(C)c3cc(O)ccc32)cc1,active,458.60200000000015,6.186920000000009,2.0,5.0,7.552841968657781
CHEMBL3705039,Cc1c(-c2ccc(O)cc2)n(Cc2ccc(OCC[N+](C)(C)C)cc2)c2ccc(O)cc12,active,431.5560000000001,5.161220000000005,2.0,4.0,7.0
CHEMBL3657149,Cc1c(-c2ccc(O)cc2)n(Cc2ccc(OCCN3CCCCC3C)cc2)c2ccc(O)cc12,active,470.6130000000002,6.329420000000006,2.0,5.0,7.698970004336019
CHEMBL3657150,Cc1c(-c2ccc(O)cc2)n(Cc2ccc(OCCN3CCCC(C)C3)cc2)c2ccc(O)cc12,active,470.6130000000002,6.186920000000006,2.0,5.0,6.769551078621726
CHEMBL3657151,Cc1c(-c2ccc(O)cc2)n(Cc2ccc(OCCN3CCC(C)CC3)cc2)c2ccc(O)cc12,active,470.6130000000002,6.186920000000006,2.0,5.0,7.431798275933005
CHEMBL3657152,Cc1c(-c2ccc(O)cc2)n(Cc2ccc(OCCN3CCCC(C)(C)C3)cc2)c2ccc(O)cc12,active,484.64000000000027,6.577020000000006,2.0,5.0,6.823908740944319
CHEMBL3657180,Cc1c(-c2ccc(O)cc2)n(Cc2ccc(OCCN3[C@@H](C)CCC[C@H]3C)cc2)c2ccc(O)cc12,active,484.6400000000002,6.7179200000000066,2.0,5.0,7.154901959985743
CHEMBL3657153,Cc1c(-c2ccc(O)cc2)n(Cc2ccc(OCCN3CCC(O)CC3)cc2)c2ccc(O)cc12,active,472.5850000000002,4.911720000000005,3.0,6.0,7.327902142064283
CHEMBL3657181,Cc1c(-c2ccc(O)cc2)n(Cc2ccc(OCCN3CC4CCC3C4)cc2)c2ccc(O)cc12,active,468.5970000000002,5.939320000000006,2.0,5.0,9.0
CHEMBL3657182,Cc1c(-c2ccc(O)cc2)n(Cc2ccc(OCCN3CC4(C)CC3C(C)(C)C4)cc2)c2ccc(O)cc12,active,510.6780000000003,6.965520000000007,2.0,5.0,6.823908740944319
CHEMBL3657155,Cc1c(-c2ccc(F)cc2)n(Cc2ccc(OCCN3CCCCC3)cc2)c2ccc(O)cc12,active,458.5770000000003,6.374420000000007,1.0,4.0,7.3979400086720375
CHEMBL3657154,Cc1c(-c2ccc(F)cc2)n(Cc2ccc(OCCN3CCCCCC3)cc2)c2ccc(O)cc12,active,472.6040000000003,6.764520000000007,1.0,4.0,7.0
