molecule_chembl_id,canonical_smiles,standard_value
CHEMBL431611,Oc1ccc2c(c1)S[C@H](C1CCCC1)[C@H](c1ccc(OCCN3CCCCC3)cc1)O2,2.5
CHEMBL316132,Oc1ccc2c(c1)S[C@H](C1CCCCCC1)[C@H](c1ccc(OCCN3CCCCC3)cc1)O2,7.5
CHEMBL304552,Oc1ccc([C@H]2Sc3cc(O)ccc3O[C@H]2c2ccc(OCCN3CCCCC3)cc2)cc1,3.1
CHEMBL85881,Oc1ccc2c(c1)S[C@H](CC1CCCCC1)[C@H](c1ccc(OCCN3CCCCC3)cc1)O2,3.9
CHEMBL85536,Oc1ccc2c(c1)S[C@H](Cc1ccccc1)[C@H](c1ccc(OCCN3CCCCC3)cc1)O2,7.4
CHEMBL83451,Oc1ccc2c(c1)S[C@H](c1ccncc1)[C@H](c1ccc(OCCN3CCCCC3)cc1)O2,490.0
CHEMBL267385,Oc1ccc(C2=Cc3cc(O)ccc3C23Cc2ccc(OCCN4CCCCC4)cc2C3)cc1,1.0
CHEMBL315761,Oc1ccc2c(c1)S[C@H](c1ccco1)[C@H](c1ccc(OCCN3CCCCC3)cc1)O2,35.0
CHEMBL281499,Oc1ccc(C2=Cc3cc(O)ccc3C23Cc2ccccc2C3)cc1,4.3
CHEMBL25228,O=C1c2ccccc2C(=O)C12C(c1ccc(O)cc1)=Cc1cc(O)ccc12,91.0
CHEMBL432454,O=C1c2ccc(OCCN3CCCCC3)cc2C(=O)C12C(c1ccc(O)cc1)=Cc1cc(O)ccc12,172.0
CHEMBL24950,Oc1cccc(C2=Cc3cc(O)ccc3C23Cc2ccccc2C3)c1,35.0
CHEMBL419110,CC(C)(C)[C@H]1Sc2cc(O)ccc2O[C@H]1c1ccc(OCCN2CCCCC2)cc1,11.0
CHEMBL85090,Oc1ccc2c(c1)S[C@H](C1CCCCC1)[C@H](c1ccc(OCCN3CCCCC3)cc1)O2,2.6
CHEMBL83060,Oc1ccc2c(c1)S[C@H](c1cccnc1)[C@H](c1ccc(OCCN3CCCCC3)cc1)O2,542.0
CHEMBL85650,CC(C)C[C@H]1Sc2cc(O)ccc2O[C@H]1c1ccc(OCCN2CCCCC2)cc1,3.0
CHEMBL313941,Oc1ccc(C[C@H]2Sc3cc(O)ccc3O[C@H]2c2ccc(OCCN3CCCCC3)cc2)cc1,2.7
CHEMBL313825,CC(C)[C@H]1Sc2cc(O)ccc2O[C@H]1c1ccc(OCCN2CCCCC2)cc1,7.0
CHEMBL25580,O=C1c2ccccc2C(=O)C12C(c1cccc(O)c1)=Cc1cc(O)ccc12,366.0
CHEMBL83623,Oc1ccc2c(c1)S[C@H](c1cccs1)[C@H](c1ccc(OCCN3CCCCC3)cc1)O2,8.8
CHEMBL315271,Oc1ccc2c(c1)S[C@H](CC1CCCC1)[C@H](c1ccc(OCCN3CCCCC3)cc1)O2,3.0
CHEMBL81,O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,1.8
CHEMBL122237,Oc1ccc([C@H]2Sc3cc(O)ccc3O[C@H]2c2ccc(COCCN3CCCCC3)cc2)cc1,2.3
CHEMBL334096,Oc1ccc([C@H]2Sc3cc(O)ccc3O[C@H]2c2ccc(C3=CCNCC3)cc2)cc1,1.4
CHEMBL121978,CN1CCN(c2ccc([C@@H]3Oc4ccc(O)cc4S[C@@H]3c3ccc(O)cc3)cc2)CC1,1.0
CHEMBL122208,Oc1ccc([C@H]2Sc3cc(O)ccc3O[C@H]2CCCN2CCCCC2)cc1,0.7
CHEMBL124474,Oc1ccc([C@H]2Sc3cc(O)ccc3O[C@H]2c2ccc(CCCN3CCCCC3)cc2)cc1,1.4
CHEMBL121879,CN1CCCN(c2ccc([C@@H]3Oc4ccc(O)cc4S[C@@H]3c3ccc(O)cc3)cc2)CC1,3.6
CHEMBL125119,Oc1ccc([C@H]2Sc3cc(O)ccc3O[C@H]2c2ccc(C3CCNCC3)cc2)cc1,1.7
CHEMBL121720,CCN1CCN(c2ccc([C@@H]3Oc4ccc(O)cc4S[C@@H]3c3ccc(O)cc3)cc2)CC1,1.0
CHEMBL332625,Oc1ccc([C@H]2Sc3cc(O)ccc3O[C@H]2c2ccc(N3CCNCC3)cc2)cc1,4.4
CHEMBL304552,Oc1ccc([C@H]2Sc3cc(O)ccc3O[C@H]2c2ccc(OCCN3CCCCC3)cc2)cc1,0.8
CHEMBL340111,Oc1ccc([C@H]2Sc3cc(O)ccc3O[C@H]2c2ccc(CN3CCCCC3)cc2)cc1,155.0
CHEMBL340606,Oc1ccc([C@H]2Sc3cc(O)ccc3O[C@H]2c2ccc(N3CCCNCC3)cc2)cc1,3.6
CHEMBL135,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,1.3
